hhcode,sec,fortnightly,food,s12bq03,s12bq04,s12bq05,s12bq06,s12bq07,s12bq08,Totalincome,Region,Province,hhsize,Real_income,,
10912300211,BSB,9897,257322,12653,151836,5400,64800,130180,130180,604138,urban,Punjab,16,189980.5031,,
10912300212,BSB,1910,49660,4595,55140,590,7080,25920,25920,137800,urban,Punjab,4,43333.33333,,
10912400101,BSB,3301,85826,5634,67608,3650,43800,45170,45170,242404,urban,Punjab,4,76227.67296,,
10912400102,BSB,2726,70876,5687,68244,3800,45600,110920,110920,295640,urban,Punjab,4,92968.55346,,
10912400103,BSB,4952,128752,2317,27804,2100,25200,83520,83520,265276,urban,Punjab,1,83420.12579,,
10912400104,BSB,6480,168480,7393,88716,4250,51000,137520,137520,445716,urban,Punjab,6,140162.2642,,
10912400105,BSB,3874,100724,5671,68052,6000,72000,52220,52220,292996,urban,Punjab,6,92137.10692,,
10912400106,BSB,6838,177788,8535,102420,4050,48600,51070,51070,379878,urban,Punjab,8,119458.4906,,
10912400107,BSB,6616,172016,15792,189504,11850,142200,122500,122500,626220,urban,Punjab,9,196924.5283,,
10912400108,BSB,6529,169754,13733,164796,1830,21960,81270,81270,437780,urban,Punjab,8,137666.6667,,
10912400109,BSB,5128,133328,9449,113388,5660,67920,109040,109040,423676,urban,Punjab,7,133231.4465,,
10912400110,BSB,3557,92482,6421,77052,690,8280,73840,73840,251654,urban,Punjab,5,79136.47799,,
10912400111,BSB,4814,125164,7399,88788,2300,27600,52780,52780,294332,urban,Punjab,8,92557.2327,,
10912400112,BSB,1508,39208,2525,30300,2190,26280,13645,13645,109433,urban,Punjab,2,34412.89308,,
10912400201,BSB,2470,64220,6817,81804,5650,67800,32510,32510,246334,urban,Punjab,6,77463.52201,,
10912400202,BSB,1872,48672,4143,49716,810,9720,16140,16140,124248,urban,Punjab,8,39071.69811,,
10912400203,BSB,1856,48256,5803,69636,1100,13200,33680,33680,164772,urban,Punjab,6,51815.09434,,
10912400204,BSB,2570,66820,3536,42432,2120,25440,47805,47805,182497,urban,Punjab,5,57388.99371,,
10912400205,BSB,1814,47164,3331,39972,450,5400,39560,39560,132096,urban,Punjab,6,41539.62264,,
10912400206,BSB,1147,29822,3480,41760,2820,33840,17470,17470,122892,urban,Punjab,4,38645.28302,,
10912400207,BSB,2028,52728,8421,101052,460,5520,35010,35010,194310,urban,Punjab,12,61103.77358,,
10912400208,BSB,1190,30940,3390,40680,300,3600,6930,6930,82150,urban,Punjab,6,25833.33333,,
10912400209,BSB,1450,37700,4019,48228,670,8040,29560,29560,123528,urban,Punjab,3,38845.28302,,
10912400210,BSB,1768,45968,3318,39816,650,7800,19950,19950,113534,urban,Punjab,4,35702.51572,,
10912400211,BSB,1346,34996,4571,54852,650,7800,18990,18990,116638,urban,Punjab,6,36678.61635,,
10912400212,BSB,1067,27742,4150,49800,2450,29400,17260,17260,124202,urban,Punjab,6,39057.2327,,
10913100101,BSB,4823,125398,6693,80316,17800,213600,123870,123870,543184,urban,Punjab,6,170812.5786,,
10913100102,BSB,6704,174304,12717,152604,4550,54600,105820,105820,487328,urban,Punjab,5,153247.7987,,
10913100103,BSB,6272,163072,11887,142644,10700,128400,194520,194520,628636,urban,Punjab,5,197684.2767,,
10913100104,BSB,2273,59098,5265,63180,1450,17400,42350,42350,182028,urban,Punjab,3,57241.50943,,
10913100105,BSB,10059,261534,19599,235188,2650,31800,134990,134990,663512,urban,Punjab,7,208651.5723,,
10913100106,BSB,4383,113958,5564,66768,5450,65400,62550,62550,308676,urban,Punjab,6,97067.92453,,
10913100108,BSB,4840,125840,7225,86700,7340,88080,108050,108050,408670,urban,Punjab,5,128512.5786,,
10913100109,BSB,8618,224068,16729,200748,3300,39600,618920,618920,1083336,urban,Punjab,5,340671.6981,,
10913100110,BSB,3306,85956,4560,54720,2100,25200,112120,112120,277996,urban,Punjab,5,87420.12579,,
10913100111,BSB,4273,111098,5944,71328,6100,73200,55570,55570,311196,urban,Punjab,3,97860.37736,,
10913100112,BSB,3685,95810,3501,42012,1000,12000,80720,80720,230542,urban,Punjab,3,72497.48428,,
10913200101,BSB,4527,117702,5433,65196,2630,31560,60320,60320,274778,urban,Punjab,4,86408.1761,,
10913200102,BSB,6364,165464,9278,111336,14410,172920,201145,201145,650865,urban,Punjab,4,204674.5283,,
10913200103,BSB,2681,69706,6099,73188,4850,58200,60120,60120,261214,urban,Punjab,4,82142.7673,,
10913200104,BSB,2914,75764,5587,67044,4870,58440,46870,46870,248118,urban,Punjab,4,78024.5283,,
10913200105,BSB,5842,151892,7505,90060,5880,70560,252820,252820,565332,urban,Punjab,5,177777.3585,,
10913200106,BSB,6800,176800,10351,124212,4300,51600,227720,227720,580332,urban,Punjab,5,182494.3396,,
10913200107,BSB,4208,109408,11605,139260,5400,64800,190470,190470,503938,urban,Punjab,7,158471.0692,,
10913200108,BSB,1971,51246,2824,33888,2430,29160,28940,28940,143234,urban,Punjab,3,45042.13836,,
10913200109,BSB,10037,260962,12341,148092,11400,136800,125860,125860,671714,urban,Punjab,9,211230.8176,,
10913200110,BSB,8325,216450,15455,185460,11820,141840,119820,119820,663570,urban,Punjab,6,208669.8113,,
10913200111,BSB,1133,29458,2675,32100,330,3960,34950,34950,100468,urban,Punjab,2,31593.71069,,
10913200112,BSB,5034,130884,9628,115536,5780,69360,157650,157650,473430,urban,Punjab,9,148877.3585,,
10913300101,BSB,4631,120406,8125,97500,1220,14640,46630,46630,279176,urban,Punjab,8,87791.19497,,
10913300102,BSB,7792,202592,7855,94260,9000,108000,67640,67640,472492,urban,Punjab,2,148582.3899,,
10913300103,BSB,4900,127400,9149,109788,11100,133200,201920,201920,572308,urban,Punjab,4,179971.0692,,
10913300104,BSB,5525,143650,9542,114504,8350,100200,99920,99920,458274,urban,Punjab,4,144111.3208,,
10913300105,BSB,3222,83772,6397,76764,3300,39600,39865,39865,240001,urban,Punjab,6,75472.01258,,
10913300107,BSB,7348,191048,11041,132492,15400,184800,185230,185230,693570,urban,Punjab,5,218103.7736,,
10913300108,BSB,6714,174564,5650,67800,15500,186000,180110,180110,608474,urban,Punjab,3,191344.0252,,
10913300109,BSB,7130,185380,10797,129564,7350,88200,131520,131520,534664,urban,Punjab,6,168133.3333,,
10913300110,BSB,3088,80288,6375,76500,5350,64200,72570,72570,293558,urban,Punjab,5,92313.83648,,
10913300111,BSB,3235,84110,9235,110820,2530,30360,36320,36320,261610,urban,Punjab,5,82267.2956,,
10913400101,BSB,1088,28288,2297,27564,450,5400,39270,39270,100522,urban,Punjab,2,31610.69182,,
10913400102,BSB,1845,47970,5394,64728,1020,12240,60290,60290,185228,urban,Punjab,8,58247.79874,,
10913400103,BSB,2460,63960,3545,42540,540,6480,32740,32740,145720,urban,Punjab,6,45823.89937,,
10913400104,BSB,2754,71604,5525,66300,700,8400,23880,23880,170184,urban,Punjab,7,53516.98113,,
10913400105,BSB,11197,291122,12614,151368,8300,99600,109520,109520,651610,urban,Punjab,9,204908.805,,
10913400106,BSB,4301,111826,6781,81372,3150,37800,45480,45480,276478,urban,Punjab,5,86942.7673,,
10913400107,BSB,7358,191308,9106,109272,1830,21960,124120,124120,446660,urban,Punjab,5,140459.1195,,
10913400108,BSB,8651,224926,19592,235104,9000,108000,164120,164120,732150,urban,Punjab,6,230235.8491,,
10913400109,BSB,5379,139854,7290,87480,6050,72600,84720,84720,384654,urban,Punjab,7,120960.3774,,
10913400110,BSB,13483,350558,19060,228720,30600,367200,311870,311870,1258348,urban,Punjab,8,395706.9182,,
10913400111,BSB,5435,141310,11358,136296,8200,98400,199110,199110,575116,urban,Punjab,8,180854.0881,,
10913400112,BSB,1334,34684,4231,50772,100,1200,43100,43100,129756,urban,Punjab,5,40803.77358,,
10920100101,BSB,4143,107718,3188,38256,1350,16200,25240,25240,187414,rural,Punjab,9,58935.22013,,
10920100102,BSB,865,22490,3224,38688,2120,25440,11190,11190,97808,rural,Punjab,3,30757.2327,,
10920100103,BSB,1119,29094,3344,40128,620,7440,27190,27190,103852,rural,Punjab,6,32657.86164,,
10920100104,BSB,399,10374,433,5196,50,600,50,50,16220,rural,Punjab,1,5100.628931,,
10920100105,BSB,1145,29770,1914,22968,420,5040,17655,17655,75433,rural,Punjab,3,23721.06918,,
10920100106,BSB,1088,28288,560,6720,1400,16800,4460,4460,56268,rural,Punjab,1,17694.33962,,
10920100107,BSB,1165,30290,3750,45000,1300,15600,15885,15885,106775,rural,Punjab,7,33577.04403,,
10920100108,BSB,1520,39520,3956,47472,1455,17460,15670,15670,120122,rural,Punjab,6,37774.21384,,
10920100109,BSB,1708,44408,5049,60588,1220,14640,48250,48250,167886,rural,Punjab,7,52794.33962,,
10920100110,BSB,572,14872,2944,35328,400,4800,11830,11830,66830,rural,Punjab,3,21015.72327,,
10920100111,BSB,3897,101322,3095,37140,1600,19200,22200,22200,179862,rural,Punjab,9,56560.37736,,
10920100112,BSB,2795,72670,4236,50832,1690,20280,12470,12470,156252,rural,Punjab,5,49135.84906,,
10920100113,BSB,798,20748,1875,22500,1220,14640,30940,30940,88828,rural,Punjab,3,27933.33333,,
10920100114,BSB,920,23920,1947,23364,510,6120,16890,16890,70294,rural,Punjab,4,22105.03145,,
10920100115,BSB,865,22490,2158,25896,750,9000,20770,20770,78156,rural,Punjab,3,24577.35849,,
10920100116,BSB,1996,51896,2230,26760,350,4200,17060,17060,99916,rural,Punjab,8,31420.12579,,
10920100201,BSB,479,12454,3095,37140,850,10200,10850,10850,70644,rural,Punjab,5,22215.09434,,
10920100202,BSB,1680,43680,4243,50916,650,7800,5210,5210,107606,rural,Punjab,9,33838.36478,,
10920100203,BSB,612,15912,2515,30180,470,5640,10500,10500,62232,rural,Punjab,8,19569.81132,,
10920100204,BSB,2355,61230,10460,125520,5550,66600,71440,71440,324790,rural,Punjab,6,102135.2201,,
10920100205,BSB,1886,49036,2992,35904,800,9600,15280,15280,109820,rural,Punjab,4,34534.59119,,
10920100206,BSB,3784,98384,5730,68760,1050,12600,44130,44130,223874,rural,Punjab,4,70400.62893,,
10920100207,BSB,762,19812,5885,70620,840,10080,19070,19070,119582,rural,Punjab,6,37604.40252,,
10920100208,BSB,917,23842,3804,45648,730,8760,19540,19540,97790,rural,Punjab,8,30751.57233,,
10920100209,BSB,554,14404,1647,19764,160,1920,9240,9240,45328,rural,Punjab,6,14254.08805,,
10920100210,BSB,914,23764,3859,46308,470,5640,15190,15190,90902,rural,Punjab,8,28585.53459,,
10920100211,BSB,4516,117416,5800,69600,3680,44160,182550,182550,413726,rural,Punjab,9,130102.5157,,
10920100212,BSB,1378,35828,2154,25848,840,10080,16070,16070,87826,rural,Punjab,2,27618.23899,,
10920100213,BSB,2991,77766,5652,67824,900,10800,21050,21050,177440,rural,Punjab,7,55798.74214,,
10920100214,BSB,1052,27352,5404,64848,3750,45000,162550,162550,299750,rural,Punjab,13,94261.00629,,
10920100215,BSB,3144,81744,8265,99180,1060,12720,52300,52300,245944,rural,Punjab,10,77340.8805,,
10920100216,BSB,2982,77532,6843,82116,1900,22800,28380,28380,210828,rural,Punjab,10,66298.11321,,
10920100301,BSB,1118,29068,4455,53460,1370,16440,47550,47550,146518,rural,Punjab,6,46074.84277,,
10920100302,BSB,2779,72254,7094,85128,4500,54000,59860,59860,271242,rural,Punjab,10,85296.22642,,
10920100303,BSB,1215,31590,2990,35880,780,9360,37050,37050,113880,rural,Punjab,9,35811.32075,,
10920100304,BSB,1402,36452,2314,27768,490,5880,22010,22010,92110,rural,Punjab,3,28965.40881,,
10920100305,BSB,2489,64714,3814,45768,1250,15000,31040,31040,156522,rural,Punjab,5,49220.75472,,
10920100306,BSB,3219,83694,4154,49848,3850,46200,68850,68850,248592,rural,Punjab,6,78173.58491,,
10920100307,BSB,1050,27300,3040,36480,400,4800,11750,11750,80330,rural,Punjab,4,25261.00629,,
10920100308,BSB,884,22984,2996,35952,1460,17520,29450,29450,105906,rural,Punjab,8,33303.77358,,
10920100309,BSB,1527,39702,2349,28188,800,9600,17470,17470,94960,rural,Punjab,3,29861.63522,,
10920100310,BSB,2783,72358,4250,51000,1200,14400,36700,36700,174458,rural,Punjab,5,54861.00629,,
10920100311,BSB,1674,43524,2967,35604,1300,15600,28960,28960,123688,rural,Punjab,5,38895.59748,,
10920100312,BSB,1052,27352,4412,52944,1510,18120,44250,44250,142666,rural,Punjab,7,44863.52201,,
10920100313,BSB,2198,57148,4264,51168,1000,12000,58200,58200,178516,rural,Punjab,8,56137.10692,,
10920100314,BSB,2409,62634,5263,63156,2470,29640,62885,62885,218315,rural,Punjab,7,68652.51572,,
10920100315,BSB,809,21034,3441,41292,850,10200,22270,22270,94796,rural,Punjab,6,29810.06289,,
10920100316,BSB,816,21216,3196,38352,600,7200,30000,30000,96768,rural,Punjab,6,30430.18868,,
10920200101,BSB,3299,85774,3748,44976,2300,27600,60750,60750,219100,rural,Punjab,6,68899.37107,,
10920200102,BSB,1259,32734,3990,47880,1300,15600,13430,13430,109644,rural,Punjab,5,34479.24528,,
10920200103,BSB,3601,93626,11475,137700,5000,60000,78200,78200,369526,rural,Punjab,12,116203.1447,,
10920200104,BSB,389,10114,1553,18636,50,600,2960,2960,32310,rural,Punjab,2,10160.37736,,
10920200105,BSB,7841,203866,6064,72768,3700,44400,33340,33340,354374,rural,Punjab,6,111438.3648,,
10920200106,BSB,6497,168922,8087,97044,4300,51600,53470,53470,371036,rural,Punjab,10,116677.9874,,
10920200107,BSB,1286,33436,2871,34452,70,840,9540,9540,78268,rural,Punjab,4,24612.57862,,
10920200108,BSB,1426,37076,3717,44604,1450,17400,12090,12090,111170,rural,Punjab,6,34959.1195,,
10920200109,BSB,1615,41990,3085,37020,2200,26400,18880,18880,124290,rural,Punjab,6,39084.90566,,
10920200110,BSB,1055,27430,2392,28704,1050,12600,19220,19220,87954,rural,Punjab,3,27658.49057,,
10920200111,BSB,399,10374,1907,22884,390,4680,5510,5510,43448,rural,Punjab,3,13662.89308,,
10920200112,BSB,227,5902,766,9192,30,360,4450,4450,19904,rural,Punjab,5,6259.119497,,
10920200113,BSB,1268,32968,6697,80364,700,8400,32530,32530,154262,rural,Punjab,11,48510.06289,,
10920200114,BSB,707,18382,3968,47616,950,11400,19020,19020,96418,rural,Punjab,8,30320.12579,,
10920200115,BSB,609,15834,3471,41652,960,11520,14500,14500,83506,rural,Punjab,6,26259.74843,,
10920200116,BSB,524,13624,1951,23412,430,5160,13510,13510,55706,rural,Punjab,7,17517.61006,,
10920200201,BSB,1789,46514,2715,32580,1300,15600,23572,23572,118266,rural,Punjab,7,37190.56604,,
10920200202,BSB,298,7748,1010,12120,180,2160,1600,1600,23628,rural,Punjab,2,7430.188679,,
10920200203,BSB,1416,36816,2930,35160,2200,26400,30250,30250,128626,rural,Punjab,6,40448.42767,,
10920200204,BSB,914,23764,4745,56940,460,5520,15310,15310,101534,rural,Punjab,8,31928.93082,,
10920200205,BSB,2237,58162,3884,46608,1780,21360,17400,17400,143530,rural,Punjab,4,45135.22013,,
10920200206,BSB,1260,32760,1626,19512,600,7200,10136,10136,69608,rural,Punjab,2,21889.30818,,
10920200207,BSB,873,22698,5743,68916,500,6000,15060,15060,112674,rural,Punjab,5,35432.07547,,
10920200208,BSB,2128,55328,6778,81336,360,4320,23070,23070,164054,rural,Punjab,7,51589.30818,,
10920200209,BSB,995,25870,2778,33336,230,2760,14200,14200,76166,rural,Punjab,3,23951.57233,,
10920200210,BSB,1260,32760,3028,36336,2560,30720,24250,24250,124066,rural,Punjab,7,39014.46541,,
10920200211,BSB,2947,76622,5385,64620,2980,35760,66380,66380,243382,rural,Punjab,5,76535.22013,,
10920200212,BSB,1012,26312,1785,21420,310,3720,10020,10020,61472,rural,Punjab,3,19330.81761,,
10920200213,BSB,1394,36244,1761,21132,540,6480,12030,12030,75886,rural,Punjab,6,23863.52201,,
10920200214,BSB,2053,53378,5168,62016,830,9960,15011,15011,140365,rural,Punjab,10,44139.93711,,
10920200215,BSB,1139,29614,3762,45144,1050,12600,14090,14090,101448,rural,Punjab,5,31901.88679,,
10920200216,BSB,3022,78572,5426,65112,2460,29520,27320,27320,200524,rural,Punjab,4,63057.86164,,
10920200301,BSB,2045,53170,3383,40596,600,7200,22670,22670,123636,rural,Punjab,5,38879.24528,,
10920200302,BSB,683,17758,2680,32160,1240,14880,40040,40040,104838,rural,Punjab,7,32967.92453,,
10920200303,BSB,1568,40768,3653,43836,970,11640,49890,49890,146134,rural,Punjab,8,45954.08805,,
10920200304,BSB,3943,102518,7134,85608,1900,22800,56730,56730,267656,rural,Punjab,5,84168.55346,,
10920200305,BSB,2112,54912,4557,54684,1350,16200,12940,12940,138736,rural,Punjab,6,43627.67296,,
10920200306,BSB,2072,53872,3834,46008,5800,69600,41390,41390,210870,rural,Punjab,5,66311.32075,,
10920200307,BSB,1041,27066,2523,30276,362,4344,23880,23880,85566,rural,Punjab,4,26907.54717,,
10920200308,BSB,973,25298,2661,31932,600,7200,9320,9320,73750,rural,Punjab,4,23191.8239,,
10920200309,BSB,1624,42224,2850,34200,3200,38400,22930,22930,137754,rural,Punjab,8,43318.86792,,
10920200310,BSB,1414,36764,4744,56928,2440,29280,48330,48330,171302,rural,Punjab,10,53868.55346,,
10920200311,BSB,931,24206,2444,29328,370,4440,9560,9560,67534,rural,Punjab,4,21237.10692,,
10920200312,BSB,1730,44980,2810,33720,650,7800,10234,10234,96734,rural,Punjab,5,30419.49686,,
10920200313,BSB,3030,78780,3921,47052,1650,19800,28515,28515,174147,rural,Punjab,8,54763.20755,,
10920200314,BSB,1547,40222,3180,38160,1100,13200,15350,15350,106932,rural,Punjab,7,33626.41509,,
10920200315,BSB,839,21814,2881,34572,1230,14760,40800,40800,111946,rural,Punjab,7,35203.14465,,
10920200316,BSB,1972,51272,3882,46584,1910,22920,17290,17290,138066,rural,Punjab,6,43416.98113,,
10920300101,BSB,724,18824,6990,83880,1100,13200,39070,39070,154974,rural,Punjab,9,48733.96226,,
10920300102,BSB,2286,59436,6446,77352,2610,31320,42920,42920,211028,rural,Punjab,7,66361.00629,,
10920300103,BSB,1150,29900,3821,45852,2010,24120,25070,25070,124942,rural,Punjab,6,39289.93711,,
10920300104,BSB,1053,27378,3835,46020,920,11040,16570,16570,101008,rural,Punjab,3,31763.52201,,
10920300105,BSB,2179,56654,5176,62112,2070,24840,30045,30045,173651,rural,Punjab,5,54607.2327,,
10920300106,BSB,8031,208806,12416,148992,10700,128400,325420,325420,811618,rural,Punjab,11,255225.7862,,
10920300107,BSB,2495,64870,6215,74580,1890,22680,95870,95870,258000,rural,Punjab,8,81132.07547,,
10920300108,BSB,1776,46176,5770,69240,1620,19440,55580,55580,190436,rural,Punjab,7,59885.53459,,
10920300109,BSB,2298,59748,6150,73800,1020,12240,55220,55220,201008,rural,Punjab,7,63210.06289,,
10920300110,BSB,3801,98826,4950,59400,3200,38400,52670,52670,249296,rural,Punjab,5,78394.96855,,
10920300111,BSB,1426,37076,3345,40140,725,8700,33840,33840,119756,rural,Punjab,5,37659.1195,,
10920300112,BSB,1564,40664,4720,56640,590,7080,50680,50680,155064,rural,Punjab,7,48762.26415,,
10920300113,BSB,2282,59332,4015,48180,1020,12240,27220,27220,146972,rural,Punjab,4,46217.61006,,
10920300114,BSB,2234,58084,5029,60348,1390,16680,23160,23160,158272,rural,Punjab,5,49771.06918,,
10920300115,BSB,517,13442,415,4980,20,240,230,230,18892,rural,Punjab,1,5940.880503,,
10920300116,BSB,2447,63622,3874,46488,3450,41400,22690,22690,174200,rural,Punjab,5,54779.87421,,
10920300201,BSB,1013,26338,2026,24312,1300,15600,8040,8040,74290,rural,Punjab,8,23361.63522,,
10920300202,BSB,1745,45370,4245,50940,1250,15000,40480,40480,151790,rural,Punjab,4,47732.7044,,
10920300203,BSB,834,21684,6782,81384,1100,13200,52600,52600,168868,rural,Punjab,9,53103.14465,,
10920300204,BSB,486,12636,1671,20052,200,2400,5370,5370,40458,rural,Punjab,2,12722.64151,,
10920300205,BSB,1028,26728,3127,37524,750,9000,14650,14650,87902,rural,Punjab,4,27642.13836,,
10920300206,BSB,1794,46644,4673,56076,2270,27240,58320,58320,188280,rural,Punjab,8,59207.54717,,
10920300207,BSB,4280,111280,11171,134052,4950,59400,62500,62500,367232,rural,Punjab,9,115481.761,,
10920300208,BSB,1263,32838,3450,41400,1000,12000,19920,19920,106158,rural,Punjab,5,33383.01887,,
10920300209,BSB,2097,54522,1990,23880,1200,14400,6540,6540,99342,rural,Punjab,7,31239.62264,,
10920300210,BSB,946,24596,6086,73032,500,6000,29020,29020,132648,rural,Punjab,9,41713.20755,,
10920300211,BSB,2198,57148,3594,43128,2200,26400,35840,35840,162516,rural,Punjab,6,51105.66038,,
10920300212,BSB,1144,29744,3131,37572,360,4320,31320,31320,102956,rural,Punjab,7,32376.10063,,
10920300213,BSB,4140,107640,7191,86292,1200,14400,19460,19460,227792,rural,Punjab,7,71632.7044,,
10920300214,BSB,2307,59982,5023,60276,2700,32400,67160,67160,219818,rural,Punjab,5,69125.15723,,
10920300215,BSB,819,21294,3315,39780,1000,12000,14700,14700,87774,rural,Punjab,4,27601.88679,,
10920300216,BSB,4789,124514,7750,93000,3900,46800,19235,19235,283549,rural,Punjab,14,89166.3522,,
10920300301,BSB,4709,122434,8189,98268,3000,36000,35660,35660,292362,rural,Punjab,8,91937.73585,,
10920300302,BSB,1169,30394,4682,56184,60,720,43500,43500,130798,rural,Punjab,6,41131.44654,,
10920300303,BSB,989,25714,2954,35448,130,1560,23390,23390,86112,rural,Punjab,6,27079.24528,,
10920300304,BSB,1457,37882,2682,32184,350,4200,6660,6660,80926,rural,Punjab,3,25448.42767,,
10920300305,BSB,1367,35542,1880,22560,640,7680,3450,3450,69232,rural,Punjab,2,21771.06918,,
10920300306,BSB,1941,50466,2982,35784,850,10200,13990,13990,110440,rural,Punjab,2,34729.55975,,
10920300307,BSB,1345,34970,3255,39060,1360,16320,11030,11030,101380,rural,Punjab,4,31880.50314,,
10920300308,BSB,1073,27898,2773,33276,1000,12000,47320,47320,120494,rural,Punjab,6,37891.19497,,
10920300309,BSB,508,13208,1029,12348,200,2400,4250,4250,32206,rural,Punjab,2,10127.67296,,
10920300310,BSB,883,22958,2770,33240,750,9000,34010,34010,99208,rural,Punjab,4,31197.48428,,
10920300311,BSB,1358,35308,3727,44724,2730,32760,35590,35590,148382,rural,Punjab,4,46661.00629,,
10920300312,BSB,1503,39078,2765,33180,1250,15000,43220,43220,130478,rural,Punjab,4,41030.81761,,
10920300313,BSB,531,13806,1920,23040,2200,26400,4620,4620,67866,rural,Punjab,2,21341.50943,,
10920300314,BSB,2959,76934,5596,67152,1930,23160,44450,44450,211696,rural,Punjab,9,66571.06918,,
10920300315,BSB,1364,35464,5700,68400,1790,21480,32420,32420,157764,rural,Punjab,7,49611.32075,,
10920300316,BSB,1390,36140,5090,61080,1650,19800,27360,27360,144380,rural,Punjab,6,45402.51572,,
10920400101,BSB,2299,59774,4788,57456,970,11640,47720,47720,176590,rural,Punjab,6,55531.44654,,
10920400102,BSB,2251,58526,6281,75372,380,4560,49250,49250,187708,rural,Punjab,8,59027.67296,,
10920400103,BSB,1893,49218,3023,36276,710,8520,13630,13630,107644,rural,Punjab,4,33850.31447,,
10920400104,BSB,704,18304,1854,22248,30,360,5640,5640,46552,rural,Punjab,2,14638.99371,,
10920400105,BSB,1245,32370,5322,63864,430,5160,32130,32130,133524,rural,Punjab,9,41988.67925,,
10920400106,BSB,3264,84864,7325,87900,1410,16920,49190,49190,238874,rural,Punjab,7,75117.61006,,
10920400107,BSB,1630,42380,2690,32280,630,7560,8755,8755,90975,rural,Punjab,3,28608.49057,,
10920400108,BSB,1957,50882,2957,35484,740,8880,17145,17145,112391,rural,Punjab,6,35343.08176,,
10920400109,BSB,7111,184886,9791,117492,7130,85560,108990,108990,496928,rural,Punjab,12,156266.6667,,
10920400110,BSB,962,25012,2930,35160,60,720,13440,13440,74332,rural,Punjab,3,23374.84277,,
10920400111,BSB,1715,44590,2817,33804,1030,12360,45030,45030,135784,rural,Punjab,6,42699.37107,,
10920400112,BSB,1311,34086,5891,70692,480,5760,16470,16470,127008,rural,Punjab,7,39939.62264,,
10920400113,BSB,1861,48386,3170,38040,2090,25080,29280,29280,140786,rural,Punjab,7,44272.32704,,
10920400114,BSB,715,18590,2416,28992,350,4200,22090,22090,73872,rural,Punjab,3,23230.18868,,
10920400115,BSB,2105,54730,3437,41244,500,6000,11630,11630,113604,rural,Punjab,7,35724.5283,,
10920400116,BSB,1007,26182,3351,40212,450,5400,23170,23170,94964,rural,Punjab,6,29862.89308,,
10920400201,BSB,2836,73736,6910,82920,1150,13800,29770,29770,200226,rural,Punjab,8,62964.15094,,
10920400202,BSB,2364,61464,6107,73284,1000,12000,62820,62820,209568,rural,Punjab,7,65901.88679,,
10920400203,BSB,1596,41496,2554,30648,1700,20400,28110,28110,120654,rural,Punjab,5,37941.50943,,
10920400204,BSB,2539,66014,4999,59988,1800,21600,20200,20200,167802,rural,Punjab,7,52767.92453,,
10920400205,BSB,803,20878,2362,28344,390,4680,7790,7790,61692,rural,Punjab,3,19400,,
10920400206,BSB,2583,67158,4895,58740,800,9600,23140,23140,158638,rural,Punjab,7,49886.16352,,
10920400207,BSB,1533,39858,2612,31344,890,10680,6720,6720,88602,rural,Punjab,2,27862.26415,,
10920400208,BSB,2988,77688,5470,65640,1450,17400,17640,17640,178368,rural,Punjab,7,56090.56604,,
10920400209,BSB,870,22620,3689,44268,300,3600,19260,19260,89748,rural,Punjab,5,28222.64151,,
10920400210,BSB,6433,167258,10315,123780,11630,139560,84020,84020,514618,rural,Punjab,9,161829.5597,,
10920400211,BSB,1216,31616,3363,40356,830,9960,26660,26660,108592,rural,Punjab,2,34148.42767,,
10920400212,BSB,1648,42848,5039,60468,3845,46140,74890,74890,224346,rural,Punjab,8,70549.0566,,
10920400213,BSB,395,10270,1404,16848,900,10800,3860,3860,41778,rural,Punjab,2,13137.73585,,
10920400214,BSB,1751,45526,3422,41064,1150,13800,13710,13710,114100,rural,Punjab,3,35880.50314,,
10920400215,BSB,1363,35438,3910,46920,800,9600,13930,13930,105888,rural,Punjab,6,33298.11321,,
10920400216,BSB,1164,30264,4235,50820,600,7200,22700,22700,110984,rural,Punjab,6,34900.62893,,
10920400301,BSB,2353,61178,4552,54624,6800,81600,56660,56660,254062,rural,Punjab,5,79893.71069,,
10920400302,BSB,1015,26390,4647,55764,320,3840,17520,17520,103514,rural,Punjab,5,32551.57233,,
10920400303,BSB,2281,59306,5889,70668,630,7560,22520,22520,160054,rural,Punjab,7,50331.44654,,
10920400304,BSB,3066,79716,5449,65388,2450,29400,46610,46610,221114,rural,Punjab,13,69532.7044,,
10920400305,BSB,3999,103974,6370,76440,3600,43200,63560,63560,287174,rural,Punjab,6,90306.28931,,
10920400306,BSB,7335,190710,8786,105432,9300,111600,87980,87980,495722,rural,Punjab,8,155887.4214,,
10920400307,BSB,3414,88764,7109,85308,1300,15600,75100,75100,264772,rural,Punjab,5,83261.63522,,
10920400308,BSB,3900,101400,7182,86184,1070,12840,41120,41120,241544,rural,Punjab,9,75957.2327,,
10920400309,BSB,5018,130468,7891,94692,5050,60600,59950,59950,345710,rural,Punjab,6,108713.8365,,
10920400310,BSB,1303,33878,5379,64548,330,3960,30820,30820,133206,rural,Punjab,6,41888.67925,,
10920400311,BSB,2632,68432,5508,66096,1350,16200,20360,20360,171088,rural,Punjab,8,53801.25786,,
10920400312,BSB,6830,177580,15358,184296,12800,153600,132230,132230,647706,rural,Punjab,10,203681.1321,,
10920400313,BSB,975,25350,5527,66324,300,3600,25700,25700,120974,rural,Punjab,11,38042.13836,,
