hhcode,sec,fortnightly,food,s12bq03,s12bq04,s12bq05,s12bq06,s12bq07,s12bq08,Totalincome,Region,Province,hhsize,Real_income,,
10012200102,BSB,7881,204906,11255,135060,10200,122400,69050,69050,531416,urban,Punjab,9,167111.9497,,
10012200103,BSB,2555,66430,5985,71820,4750,57000,22800,22800,218050,urban,Punjab,5,68569.18239,,
10012200104,BSB,5411,140686,6882,82584,12000,144000,106600,106600,473870,urban,Punjab,6,149015.7233,,
10012200105,BSB,2897,75322,7410,88920,4600,55200,50300,50300,269742,urban,Punjab,6,84824.5283,,
10012200106,BSB,6013,156338,14740,176880,7300,87600,88500,88500,509318,urban,Punjab,10,160162.8931,,
10012200107,BSB,3833,99658,8770,105240,8600,103200,124900,124900,432998,urban,Punjab,10,136162.8931,,
10012200108,BSB,2490,64740,10195,122340,2650,31800,86300,86300,305180,urban,Punjab,7,95968.55346,,
10012200109,BSB,3490,90740,6842,82104,3000,36000,14500,14500,223344,urban,Punjab,7,70233.96226,,
10012200110,BSB,5645,146770,9970,119640,3960,47520,29790,29790,343720,urban,Punjab,11,108088.0503,,
10012200111,BSB,4882,126932,9380,112560,2900,34800,113550,113550,387842,urban,Punjab,9,121962.8931,,
10012200112,BSB,4937,128362,7430,89160,4500,54000,94200,94200,365722,urban,Punjab,11,115006.9182,,
10012300101,BSB,3170,82420,5296,63552,5275,63300,37750,37750,247022,urban,Punjab,5,77679.87421,,
10012300102,BSB,5113,132938,12769,153228,8400,100800,112825,112825,499791,urban,Punjab,7,157166.9811,,
10012300103,BSB,2605,67730,4609,55308,1820,21840,34100,34100,178978,urban,Punjab,6,56282.38994,,
10012300104,BSB,1106,28756,4225,50700,750,9000,12780,12780,101236,urban,Punjab,3,31835.22013,,
10012300105,BSB,3181,82706,4670,56040,1850,22200,153700,153700,314646,urban,Punjab,6,98945.28302,,
10012300106,BSB,3082,80132,4909,58908,1600,19200,56725,56725,214965,urban,Punjab,6,67599.0566,,
10012300107,BSB,4983,129558,7982,95784,3700,44400,124650,124650,394392,urban,Punjab,6,124022.6415,,
10012300109,BSB,1681,43706,4113,49356,5220,62640,148170,148170,303872,urban,Punjab,4,95557.2327,,
10012300110,BSB,2800,72800,3422,41064,1200,14400,30200,30200,158464,urban,Punjab,4,49831.44654,,
10012300111,BSB,2211,57486,3786,45432,1300,15600,107370,107370,225888,urban,Punjab,6,71033.96226,,
10012300112,BSB,2579,67054,5251,63012,2950,35400,266550,266550,432016,urban,Punjab,7,135854.0881,,
10012400101,BSB,4950,128700,6978,83736,11330,135960,104120,104120,452516,urban,Punjab,6,142300.6289,,
10012400102,BSB,2266,58916,5148,61776,4200,50400,39900,39900,210992,urban,Punjab,3,66349.68553,,
10012400103,BSB,6197,161122,9466,113592,10850,130200,589400,589400,994314,urban,Punjab,4,312677.3585,,
10012400104,BSB,5489,142714,8025,96300,8150,97800,77580,77580,414394,urban,Punjab,5,130312.5786,,
10012400105,BSB,4967,129142,6090,73080,4900,58800,95450,95450,356472,urban,Punjab,10,112098.1132,,
10012400107,BSB,4724,122824,8627,103524,6000,72000,67500,67500,365848,urban,Punjab,7,115046.5409,,
10012400109,BSB,3677,95602,4569,54828,4300,51600,419550,419550,621580,urban,Punjab,4,195465.4088,,
